rki_ags;population;incidence;cases_100k;cases_week
09673;79510;573.5127656898503;10822.538045528863;456
05358;265140;572.904880440522;8877.951271026628;1519
09771;135024;551.0131532172059;9432.397203460127;744
08327;141682;532.8834996682713;12360.07396846459;755
05117;170921;547.6214157417754;8627.3775603934;936
06432;297701;682.5640491634224;7544.146643780168;2032
03353;256016;672.223611024311;6128.132616711456;1721
07134;80830;373.62365458369413;7958.678708400346;302
06631;223023;527.299874900795;11398.375952256045;1176
03359;205357;439.23508816353956;5396.455927969341;902
05913;587696;717.3776918679044;9238.619966785549;4216
06534;245903;465.22409242668857;7234.1533043517165;1144
05515;316403;577.4281533360935;5859.61574321356;1827
07316;53306;234.4951787791243;8287.99759876937;125
07233;60491;261.19588037889935;6233.985220941958;158
06533;172291;470.1348300259445;8694.592288627962;810
05119;209566;602.6740978975597;9152.247979156924;1263
07141;122574;377.7310033122848;6137.516928549285;463
05570;277417;524.8416643536625;8372.233857333906;1456
03153;134688;260.6022808267997;4010.7507721549064;351
09271;119479;366.5916186108019;13347.952359828923;438
03356;114640;684.7522679692952;5890.614096301466;785
06440;310353;559.0408341469231;8269.293353052815;1735
09182;100183;706.706726690157;12393.320223990098;708
07319;83459;439.73687678980093;10134.317449286476;367
08231;126016;577.7044184865414;14346.590909090908;728
09777;141907;752.6055797106555;13209.355422917826;1068
07317;40176;228.99243329350858;6822.481083233771;92
01055;201487;506.73244427680197;4158.084640696422;1021
05770;310270;502.4655944822252;9939.729912656718;1559
09178;180313;588.9758364621518;10083.576891294582;1062
05111;620523;568.0691932450529;9021.422251874628;3525
01057;129353;405.86611829644465;3291.7674889643067;525
09472;103679;348.1900867099413;8667.13606419815;361
09362;152270;680.3703946936363;10897.747422341892;1036
09186;129128;515.7673006629082;9973.824422278669;666
01062;244989;348.5870794198923;6031.291200829425;854
05112;495885;608.2055315244462;9818.60713673533;3016
09473;86571;173.26818449596286;11010.615564103453;150
05378;283275;569.4113493954637;7923.749007148531;1613
05162;452001;301.9904823219417;7743.124462114022;1365
09672;103169;461.37890257732454;8602.390252886042;476
09671;174658;413.37928981208995;8534.392927893368;722
10042;103471;457.13291646934886;7317.026026616154;473
03102;103866;601.7368532532302;9890.628309552692;625
09278;101745;371.51702786377706;11988.795518207284;378
03254;275464;269.3636918072779;5867.191357128336;742
05766;346970;430.87298613713006;9910.07868115399;1495
07338;154754;301.7692595991057;9177.14566344004;467
09479;71974;258.4266540695251;10255.09211659766;186
08221;158741;577.0405881278308;7022.1303884944655;916
08237;118364;466.3580142610929;10224.392551789395;552
01058;274765;591.7784288391898;4334.2492675559115;1626
09565;41056;438.4255650818394;10685.405300077942;180
09662;53319;701.4385115999925;13256.06256681483;374
09373;135225;159.73377703826955;12019.227213902754;216
07318;50741;463.136319741432;11850.377406830768;235
07140;103401;376.2052591367588;7222.367288517518;389
09763;68940;567.1598491441833;11740.64403829417;391
01051;133251;634.8920458383051;4805.21722163436;846
07232;100055;311.8284943281195;6090.650142421668;312
09478;66722;455.6218338778814;10755.07328916999;304
09190;136134;687.5578474150469;10726.930818164456;936
09475;94522;348.06711665009203;11069.38067328241;329
08317;432580;549.4937352628415;10669.933885061722;2377
05762;139729;302.7288537096809;6529.066979653472;423
05566;448197;457.83438978841895;7587.288625314314;2052
09476;66355;263.7329515484892;12815.914399819154;175
08437;130946;488.7510882348449;10872.420692499198;640
08417;189862;529.8585288262001;11024.322929285481;1006
01002;246601;924.1649466141663;6206.381969253976;2279
