Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;StraÃŸe;PLZ;Ort;AufgabentrÃ¤ger;VerkehrsverbÃ¼nde;Fernverkehr;Nahverkehr
Sachsen;Erzgebirgsbahn (EGB);8224;NiederzwÃ¶nitz;DNZW;EGB;Rittergutsweg;8297;ZwÃ¶nitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);4556;Niklashausen;TNK;WFB 1;Taubertalradweg;97956;Werbach;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Hessen;Kurhessenbahn (KHB);4636;Oberelsungen;FOSN;KHB 1;An der L 3214 Nr. 2;34289;Zierenberg;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Westfrankenbahn (WFB);4668;Obernburg-Elsenfeld;NOE;WFB 2;GlanzstoffstraÃŸe;63820;Elsenfeld;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);4669;Oberndorf (Kr Wittgenstein);EOBW;KHB 3;Siegener StraÃŸe;57334;Bad Laasphe;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);4707;OberweiÃŸbach-Deesbach;UOW;OBS;FrÃ¶belstraÃŸe 24;98744;OberweiÃŸbach;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
ThÃ¼ringen;OberweiÃŸbacher Berg- und Schwarzatalbahn (OBS);4716;Obstfelderschmiede;UOFM;OBS;An der Bergbahn 1;98744;Schwarzatal;Nahverkehrsservicegesellschaft ThÃ¼ringen;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4757;Olbernhau;DOL;EGB;Brandauer StraÃŸe;9526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8225;Olbernhau West;DOLW;EGB;An der Bahnlinie;9526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4758;Olbernhau-GrÃ¼nthal;DOGT;EGB;Jagdweg;96526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4833;Otting;MOTG;SOB;Oberleiten 20;83329;Waging a.See;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4917;Pfarrkirchen;MPKI;SOB;Bahnweg 1-18;84347;Pfarrkirchen;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8226;Pockau StrobelmÃ¼hle;DSTM;EGB;Marienberger StraÃŸe;9509;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4972;Pockau-Lengefeld;DPF;EGB;BahnhofstraÃŸe;9509;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);4973;Pocking;MPKG;SOB;Griesbacher Str.;94060;Pocking;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5109;Ramerberg;MRMB;SOB;Ro 43 42;83561;Ramerberg;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5124;Raschau (b Schwarzenberg);DRAS;EGB;BahnhofstraÃŸe;8352;Raschau-Markersbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);5195;Reicholzheim;TRL;WFB 1;Alte HeerstraÃŸe;97877;Wertheim;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5196;Reifland-WÃ¼nschendorf;DRF;EGB;BahnhofstraÃŸe;9514;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);5290;Rippberg;RRB;WFB 1;BahnhofstraÃŸe;74731;WalldÃ¼rn;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5318;Rohrbach (Oberbay);MROH;SOB;Rohrbach 12;84513;Erharting;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);8259;Rosenheim Hochschule;MROS;SOB;PrinzregentenstraÃŸe;83024;Rosenheim;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);5376;Rot am See;TRS;WFB 1;BahnhofstraÃŸe 15;74585;Rot am See;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;KreisVerkehr SchwÃ¤bisch Hall;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5396;Rott (Inn);MRT;SOB;An der St 2079;83543;Rott a.Inn;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5426;Ruhpolding;MRPD;SOB;Fliederweg 1;83324;Ruhpolding;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5427;Ruhstorf;MRUS;SOB;Ernst-Hatz-Strasse 11-15;94099;Ruhstorf a.d.Rott;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Baden-WÃ¼rttemberg;Westfrankenbahn (WFB);5515;Satteldorf;TSAT;WFB 1;Am Bahnhof 16;74589;Satteldorf;Nahverkehrsgesellschaft Baden-WÃ¼rttemberg;KreisVerkehr SchwÃ¤bisch Hall;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5534;Schalchen;MSCA;SOB;FiedlerstraÃŸe 1;83342;Tacherting;Bayrische Eisenbahn Gesellschaft;-;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);5539;Schameder;ESCA;KHB 3;Steimelweg;57339;ErndtebrÃ¼ck;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-SÃ¼d;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5543;Scharfenstein;DSS;EGB;BahnhofstraÃŸe;9430;Drebach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;SÃ¼dostbayernbahn (SOB);5551;Schechen;MSC;SOB;Bahnhofstr. 5-15;83135;Schechen;Bayrische Eisenbahn Gesellschaft;-;nein;ja
