current_station_departure_time;current_station_name;type;name;line;number;current_station;stops;max_capacity
2021-12-19T14:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89983;8000048;8000048%2021-12-19T14:27:00.000Z%,8000036,;426
2021-12-19T14:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89984;8000048;8000048%2021-12-19T14:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T14:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79302;8000048;8000048%2021-12-19T14:44:00.000Z%,8000036,;426
2021-12-19T15:18:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79309;8000048;8000048%2021-12-19T15:18:00.000Z%,8002461,8000315,8002801,8001335,8000846,8006206,8006207,8005834,8000263,;426
2021-12-19T15:27:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89985;8000048;8000048%2021-12-19T15:27:00.000Z%,8000036,;426
2021-12-19T15:30:00.000Z;Bielefeld-Brackwede;RB;RB 69;69;89986;8000048;8000048%2021-12-19T15:30:00.000Z%,8003096,8002461,8000315,8004626,8004251,8000441,8002680,8000149,8001045,8003986,8001558,8005102,8002841,8000263,;426
2021-12-19T15:44:00.000Z;Bielefeld-Brackwede;RB;RB 67;67;79304;8000048;8000048%2021-12-19T15:44:00.000Z%,8000036,;426
2021-12-18T21:56:00.000Z;Kaufering;RE;RE 72;72;78971;8000195;8000195%2021-12-18T21:56:00.000Z%0,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-18T22:03:00.000Z;Kaufering;RE;RE 72;72;78960;8000195;8000195%2021-12-18T22:03:00.000Z%0,8000119,8004158,8000261,;602
2021-12-18T22:57:00.000Z;Kaufering;RE;RE 70;70;3896;8000195;8000195%2021-12-18T22:57:00.000Z%,8000057,8000194,8000962,8002458,8000197,;602
2021-12-18T23:01:00.000Z;Kaufering;RE;RE 70;70;3897;8000195;8000195%2021-12-18T23:05:00.000Z%4,8000119,8004158,8098261,;602
2021-12-18T23:56:00.000Z;Kaufering;RE;RE 72;72;78973;8000195;8000195%2021-12-18T23:56:00.000Z%0,8000057,;602
2021-12-19T04:40:00.000Z;Kaufering;RB;RB 74;74;57363;8000195;8000195%2021-12-19T04:40:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T05:02:00.000Z;Kaufering;RE;RE 70;70;3873;8000195;8000195%2021-12-19T05:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T05:15:00.000Z;Kaufering;RB;RB 74;74;57360;8000195;8000195%2021-12-19T05:15:00.000Z%,8000057,;426
2021-12-19T05:44:00.000Z;Kaufering;RB;RB 74;74;57367;8000195;8000195%2021-12-19T05:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T05:56:00.000Z;Kaufering;RE;RE 72;72;78915;8000195;8000195%2021-12-19T05:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T06:03:00.000Z;Kaufering;RE;RE 72;72;78968;8000195;8000195%2021-12-19T06:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T06:15:00.000Z;Kaufering;RB;RB 74;74;57362;8000195;8000195%2021-12-19T06:15:00.000Z%,8000057,;426
2021-12-19T06:44:00.000Z;Kaufering;RB;RB 74;74;57371;8000195;8000195%2021-12-19T06:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T06:57:00.000Z;Kaufering;RE;RE 70;70;3874;8000195;8000195%2021-12-19T06:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T06:57:00.000Z;Kaufering;RE;RE 76;76;7874;8000195;8000195%2021-12-19T06:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-19T07:02:00.000Z;Kaufering;RE;RE 70;70;3875;8000195;8000195%2021-12-19T07:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T07:15:00.000Z;Kaufering;RB;RB 74;74;57366;8000195;8000195%2021-12-19T07:15:00.000Z%,8000057,;426
2021-12-19T07:57:00.000Z;Kaufering;RE;RE 72;72;78921;8000195;8000195%2021-12-19T07:57:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T08:03:00.000Z;Kaufering;RE;RE 72;72;78972;8000195;8000195%2021-12-19T08:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T08:15:00.000Z;Kaufering;RB;RB 74;74;57368;8000195;8000195%2021-12-19T08:15:00.000Z%,8000057,;426
2021-12-19T08:44:00.000Z;Kaufering;RB;RB 74;74;57379;8000195;8000195%2021-12-19T08:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T08:56:00.000Z;Kaufering;RE;RE 70;70;3876;8000195;8000195%2021-12-19T08:56:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T08:56:00.000Z;Kaufering;RE;RE 76;76;7878;8000195;8000195%2021-12-19T08:56:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-19T09:03:00.000Z;Kaufering;RE;RE 70;70;3877;8000195;8000195%2021-12-19T09:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T09:03:00.000Z;Kaufering;RE;RE 76;76;7897;8000195;8000195%2021-12-19T09:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T09:44:00.000Z;Kaufering;RB;RB 74;74;57381;8000195;8000195%2021-12-19T09:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T09:56:00.000Z;Kaufering;RE;RE 72;72;78927;8000195;8000195%2021-12-19T09:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T10:03:00.000Z;Kaufering;RE;RE 72;72;78918;8000195;8000195%2021-12-19T10:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T10:15:00.000Z;Kaufering;RB;RB 74;74;57370;8000195;8000195%2021-12-19T10:15:00.000Z%,8000057,;426
2021-12-19T10:44:00.000Z;Kaufering;RB;RB 74;74;57383;8000195;8000195%2021-12-19T10:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T10:57:00.000Z;Kaufering;RE;RE 70;70;3880;8000195;8000195%2021-12-19T10:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T10:57:00.000Z;Kaufering;RE;RE 76;76;7882;8000195;8000195%2021-12-19T10:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8000561,8001995,8003551,8004585,;602
2021-12-19T11:03:00.000Z;Kaufering;RE;RE 70;70;3879;8000195;8000195%2021-12-19T11:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T11:03:00.000Z;Kaufering;RE;RE 76;76;7879;8000195;8000195%2021-12-19T11:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T11:15:00.000Z;Kaufering;RB;RB 74;74;57372;8000195;8000195%2021-12-19T11:15:00.000Z%,8000057,;426
2021-12-19T11:44:00.000Z;Kaufering;RB;RB 74;74;57385;8000195;8000195%2021-12-19T11:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T11:56:00.000Z;Kaufering;RE;RE 72;72;78933;8000195;8000195%2021-12-19T11:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T12:03:00.000Z;Kaufering;RE;RE 72;72;78924;8000195;8000195%2021-12-19T12:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T12:15:00.000Z;Kaufering;RB;RB 74;74;57374;8000195;8000195%2021-12-19T12:15:00.000Z%,8000057,;426
2021-12-19T12:57:00.000Z;Kaufering;RE;RE 70;70;3884;8000195;8000195%2021-12-19T12:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T12:57:00.000Z;Kaufering;RE;RE 76;76;7886;8000195;8000195%2021-12-19T12:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8000561,8001995,8003551,8004585,;602
2021-12-19T13:03:00.000Z;Kaufering;RE;RE 70;70;3881;8000195;8000195%2021-12-19T13:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T13:03:00.000Z;Kaufering;RE;RE 76;76;7883;8000195;8000195%2021-12-19T13:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T13:15:00.000Z;Kaufering;RB;RB 74;74;57378;8000195;8000195%2021-12-19T13:15:00.000Z%,8000057,;426
2021-12-19T13:44:00.000Z;Kaufering;RB;RB 74;74;57387;8000195;8000195%2021-12-19T13:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T13:56:00.000Z;Kaufering;RE;RE 72;72;78941;8000195;8000195%2021-12-19T13:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T14:03:00.000Z;Kaufering;RE;RE 72;72;78932;8000195;8000195%2021-12-19T14:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T14:44:00.000Z;Kaufering;RB;RB 74;74;57389;8000195;8000195%2021-12-19T14:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T14:57:00.000Z;Kaufering;RE;RE 70;70;3888;8000195;8000195%2021-12-19T14:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T14:57:00.000Z;Kaufering;RE;RE 76;76;7888;8000195;8000195%2021-12-19T14:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-19T15:03:00.000Z;Kaufering;RE;RE 70;70;3885;8000195;8000195%2021-12-19T15:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T15:03:00.000Z;Kaufering;RE;RE 76;76;7887;8000195;8000195%2021-12-19T15:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T15:15:00.000Z;Kaufering;RB;RB 74;74;57382;8000195;8000195%2021-12-19T15:15:00.000Z%,8000057,;426
2021-12-19T15:44:00.000Z;Kaufering;RB;RB 74;74;57391;8000195;8000195%2021-12-19T15:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T15:56:00.000Z;Kaufering;RE;RE 72;72;78949;8000195;8000195%2021-12-19T15:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T16:03:00.000Z;Kaufering;RE;RE 72;72;78938;8000195;8000195%2021-12-19T16:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T16:15:00.000Z;Kaufering;RB;RB 74;74;57386;8000195;8000195%2021-12-19T16:15:00.000Z%,8000057,;426
2021-12-19T16:44:00.000Z;Kaufering;RB;RB 74;74;57393;8000195;8000195%2021-12-19T16:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T16:57:00.000Z;Kaufering;RE;RE 70;70;3890;8000195;8000195%2021-12-19T16:57:00.000Z%,8000057,8000194,8000197,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T16:57:00.000Z;Kaufering;RE;RE 76;76;7890;8000195;8000195%2021-12-19T16:57:00.000Z%,8000057,8000194,8000197,8003065,8001004,8005609,8001995,8004585,;602
2021-12-19T17:03:00.000Z;Kaufering;RE;RE 70;70;3889;8000195;8000195%2021-12-19T17:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T17:03:00.000Z;Kaufering;RE;RE 76;76;7891;8000195;8000195%2021-12-19T17:03:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T17:15:00.000Z;Kaufering;RB;RB 74;74;57390;8000195;8000195%2021-12-19T17:15:00.000Z%,8000057,;426
2021-12-19T17:56:00.000Z;Kaufering;RE;RE 72;72;78959;8000195;8000195%2021-12-19T17:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T18:03:00.000Z;Kaufering;RE;RE 72;72;78948;8000195;8000195%2021-12-19T18:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T18:15:00.000Z;Kaufering;RB;RB 74;74;57394;8000195;8000195%2021-12-19T18:15:00.000Z%,8000057,;426
2021-12-19T18:44:00.000Z;Kaufering;RB;RB 74;74;57395;8000195;8000195%2021-12-19T18:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T18:57:00.000Z;Kaufering;RE;RE 70;70;3892;8000195;8000195%2021-12-19T18:57:00.000Z%,8000057,8000194,8000197,8003901,8003065,8004584,8005138,8002710,8000387,8003693,;602
2021-12-19T18:57:00.000Z;Kaufering;RE;RE 76;76;7892;8000195;8000195%2021-12-19T18:57:00.000Z%,8000057,8000194,8000197,8003901,8003065,8001004,8005609,8000561,8001995,8003551,8004585,;602
2021-12-19T19:02:00.000Z;Kaufering;RE;RE 70;70;3893;8000195;8000195%2021-12-19T19:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T19:02:00.000Z;Kaufering;RE;RE 76;76;7893;8000195;8000195%2021-12-19T19:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T19:44:00.000Z;Kaufering;RB;RB 74;74;57397;8000195;8000195%2021-12-19T19:44:00.000Z%,8000119,8002141,8004158,8098261,;426
2021-12-19T19:56:00.000Z;Kaufering;RE;RE 72;72;78965;8000195;8000195%2021-12-19T19:56:00.000Z%,8000057,8000144,8004927,8000338,8005725,8005607,8000249,;602
2021-12-19T20:03:00.000Z;Kaufering;RE;RE 72;72;78954;8000195;8000195%2021-12-19T20:03:00.000Z%,8000119,8004158,8000261,;602
2021-12-19T20:15:00.000Z;Kaufering;RB;RB 74;74;57398;8000195;8000195%2021-12-19T20:15:00.000Z%,8000057,;426
2021-12-19T20:57:00.000Z;Kaufering;RE;RE 70;70;3894;8000195;8000195%2021-12-19T20:57:00.000Z%,8000057,8000194,8000962,8002458,8000197,8003901,8003065,8004584,8005138,8002710,8000387,8000230,;602
2021-12-19T21:02:00.000Z;Kaufering;RE;RE 70;70;3895;8000195;8000195%2021-12-19T21:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-19T21:02:00.000Z;Kaufering;RE;RE 76;76;7895;8000195;8000195%2021-12-19T21:02:00.000Z%,8000119,8004158,8098261,;602
2021-12-18T23:09:00.000Z;Weiden(Oberpf);RE;RE 41;41;3039;8000204;8000204%2021-12-18T23:09:00.000Z%,8000540,8004332,;602
2021-12-19T04:06:00.000Z;Weiden(Oberpf);RE;RE 41;41;3000;8000204;8000204%2021-12-19T04:06:00.000Z%,8006266,8002076,8006085,8000269,8001929,8002612,8002794,8000284,;602
2021-12-19T05:10:00.000Z;Weiden(Oberpf);RE;RE 41;41;3002;8000204;8000204%2021-12-19T05:10:00.000Z%,8006266,8002076,8006085,8000269,8001929,8002612,8002794,8000284,;602
