rki_ags;population;incidence;cases_100k;cases_week
13004;95609;319.0076248051962;4259.013272809045;305
14625;298010;1602.2952249924497;15643.434784067647;4775
16064;101698;635.2140651733564;9926.44889771677;646
16072;57044;1486.5717691606478;13110.931912208122;848
15090;110485;392.8135040955786;6138.389826673304;434
16077;88356;1177.056453438363;12278.736022454616;1040
12062;101085;1603.6009299104715;12188.752040362071;1621
13071;258057;467.33861123705225;4830.328183308339;1206
13074;157975;243.70944769742047;3861.3704700110775;385
12066;108396;1141.1860216244143;11284.549245359607;1237
15086;89403;508.93146762412897;5483.037481963692;455
16068;69107;205.47846093738696;8533.144254561767;142
12068;98808;541.4541332685612;6308.193668528864;535
16067;134563;1049.3226221175212;10761.502047368147;1412
16065;73522;843.2850031283153;8925.219662141944;620
12070;76096;388.98233809924307;6134.356602186712;296
15084;177590;903.7671040036038;10758.488653640408;1605
14524;312033;973.614970211484;13222.319434162413;3038
12073;118250;684.9894291754757;5479.069767441861;810
16061;99463;501.6940973025145;9131.033650704281;499
16062;82456;668.2351799747744;5697.584166100708;551
16063;159937;677.7668707053402;9709.44809518748;1084
13076;211844;424.8409206774797;4390.022847000623;900
13073;225383;415.7367680792251;3590.7765891837453;937
15082;157217;291.3170967516236;6594.070615773104;458
13075;235773;437.28501567185384;6111.810936790896;1031
16073;102139;695.1311448124615;9748.480012531942;710
15088;183434;1000.9049576414404;8634.168147671642;1836
15091;124185;861.6177477151025;8280.388130611587;1070
14628;244722;1652.0786852019842;15642.647575616415;4043
14729;258386;1497.3721486458244;10402.266376661275;3869
16074;82816;1167.6487635239566;9716.721406491499;967
14612;556227;846.4170203891578;10429.734622734963;4708
14627;240371;1273.4481281019757;12365.884403692626;3061
09180;88279;489.3576048663895;7232.750710814577;432
08135;132812;604.6140408999187;8490.196668975696;803
06413;130892;339.97494117287533;10358.921859242733;445
08216;232091;604.0734022430856;7217.8585123938465;1402
05374;271699;408.90838759067935;7826.675843488566;1111
15083;170567;201.68027813117425;4850.293433079083;344
08226;548233;376.29985790713073;6252.998268984173;2063
10046;86458;282.21795553910573;5189.803141409702;244
03241;1155330;190.42178425211844;5815.740957129132;2200
07332;133004;309.7651198460197;5033.6831974978195;412
07340;94912;444.6223870532704;4292.3971679029;422
06438;356542;347.7851136752472;7464.1977663220605;1240
13072;217072;429.8113068474976;3811.638534679738;933
08335;286876;425.61943139196023;6176.187621132475;1221
13003;209061;274.561013292771;3219.634460755473;574
14730;197444;1310.7514029294382;11177.85296083953;2588
