rki_ags;population;incidence;cases_100k;cases_week
09662;53319;513.8881074288715;12946.604399932483;274
09373;135225;112.4052505084119;11907.561471621373;152
07318;50741;463.136319741432;11740.01300723281;235
07140;103401;326.88271873579555;7105.347143644645;338
09763;68940;504.78677110530896;11557.876414273282;348
01051;133251;664.1601188734044;4668.632880803896;885
07232;100055;290.8400379791115;5999.7001649093;291
09478;66722;355.2051797008483;10599.202661790712;237
09190;136134;631.7305008300646;10638.782376188168;860
09475;94522;266.60459998730454;10947.715875669157;252
08317;432580;498.86726154699704;10515.280410559897;2158
05762;139729;289.1311037794588;6444.617795876304;404
05566;448197;365.687409777397;7378.451886112581;1639
09476;66355;238.11317911235025;12705.9000828875;158
08437;130946;425.3661814793885;10729.61373390558;557
08417;189862;495.0964384658331;10900.022121330228;940
01002;246601;857.2552422739568;5955.369199638282;2114
10041;327502;561.8286300541675;9187.730151266253;1840
06436;239264;528.7046943961482;7420.673398421827;1265
01059;202647;670.1308186156223;3518.9270011399135;1358
09176;133169;447.5516073560663;9527.742943177467;596
08316;166862;482.4345866644293;7931.704042861766;805
07211;110674;395.7569076747926;5208.088620633573;438
08325;140166;574.3190217313756;12907.552473495713;805
08416;228471;477.5223113655563;8487.291603748397;1091
03251;218072;575.4980006603323;6183.73748119887;1255
05370;256458;366.5317517878171;8383.828931053038;940
08435;217901;494.26115529529466;9596.559905645225;1077
07231;112685;269.7785863247105;5628.965700847495;304
09575;101272;259.69665850383126;8889.920214866894;263
08117;258781;379.0850178336122;10653.409639811269;981
08421;126405;533.997864008544;10097.701831414897;675
09375;194275;365.97606485651784;9408.827692703642;711
07138;183131;245.72573731372626;7951.684859472181;450
05978;393618;416.39355923763645;7770.477976108817;1639
09576;127168;288.59461499748363;9433.190739808757;367
09179;218740;539.4532321477553;9082.472341592758;1180
09477;71428;390.6031248249986;9055.272442179537;279
09563;128223;375.90759848077175;11396.551320745888;482
06633;237007;333.32348833578754;6062.690131515103;790
09371;102998;281.55886522068386;9471.057690440592;290
09275;193454;211.4197690407022;14861.931001685156;409
09775;175823;446.47173577973297;10305.818920164029;785
05170;460113;370.5611447622649;6961.550749489799;1705
07312;99662;681.3028034757481;8491.701952599788;679
05962;408662;491.8490096950536;9298.637994234845;2010
03155;131772;244.36147284703884;4431.1386333970795;322
08127;197860;382.5937531587992;10331.042151015869;757
09678;115652;410.71490333068175;9877.90959084149;475
08126;112765;392.85239214295217;10392.40899215182;443
08337;171237;629.5368407528747;9203.618376869485;1078
08118;544971;449.5652062219825;9785.107831425892;2450
06433;275807;577.2152265896079;9358.718234127487;1592
09279;97244;391.79795154456826;14346.386409444283;381
07331;130715;278.468423669816;7760.394751941247;364
09174;155117;677.5530728417904;11109.6785007446;1051
09177;138891;753.8285418061646;11752.38136380327;1047
07131;130479;321.89087899202167;6730.584998352225;420
08415;287497;475.48322243362543;10513.501010445327;1367
08426;202250;536.9592088998763;11135.723114956738;1086
09776;82085;748.0051166473777;9994.517877809587;614
09774;127342;440.54593142875086;12624.271646432442;561
05911;364454;440.11041173920444;8153.017939163789;1604
03158;119361;315.8485602499979;4939.636899824901;377
01056;317085;580.2860431745431;6872.6051374237195;1840
09183;116483;558.0213421701021;15194.491900105595;650
09372;128094;329.4455634143676;11669.555170421721;422
09374;94645;285.27655977600506;10337.577262401606;270
08115;392898;472.8962733330279;9574.749680578674;1858
09778;146164;433.07517582988976;13060.671574395885;633
09577;95117;339.58177823102073;10806.69070723425;323
09474;116600;354.2024013722127;8623.499142367067;413
